frame_number,landmark,x,y,z
2,LEFT_EYE,0.4717136025428772,0.880055844783783,-0.5667893290519714
2,LEFT_EYE_OUTER,0.4597483277320862,0.8805987238883972,-0.5670057535171509
2,RIGHT_EYE_INNER,0.5049306154251099,0.879304051399231,-0.5042251944541931
2,RIGHT_EYE,0.5100443363189697,0.8793259263038635,-0.5040649771690369
2,RIGHT_EYE_OUTER,0.514604926109314,0.87930828332901,-0.504173994064331
2,LEFT_EAR,0.41624775528907776,0.8747413754463196,-0.5478594899177551
2,RIGHT_EAR,0.48335617780685425,0.8724010586738586,-0.26197099685668945
2,MOUTH_LEFT,0.4722825288772583,0.8427769541740417,-0.5214052796363831
2,MOUTH_RIGHT,0.4989719092845917,0.8412031531333923,-0.43937885761260986
2,LEFT_SHOULDER,0.33587393164634705,0.7763086557388306,-0.6878465414047241
